  0.00000000E+00 -0.15144690E+01
  0.32336653E-01 -0.16326211E+01
  0.64673306E-01 -0.17594221E+01
  0.97009959E-01 -0.18952872E+01
  0.12934661E+00 -0.20404876E+01
  0.16168326E+00 -0.21944501E+01
  0.19401992E+00 -0.23556547E+01
  0.22635657E+00 -0.25219970E+01
  0.25869322E+00 -0.26911197E+01
  0.29102988E+00 -0.28604715E+01
  0.32336653E+00 -0.30273358E+01
  0.35570318E+00 -0.31892281E+01
  0.38803983E+00 -0.33447190E+01
  0.42037649E+00 -0.34941944E+01
  0.45271314E+00 -0.36398805E+01
  0.48504979E+00 -0.37848766E+01
  0.51738645E+00 -0.39315996E+01
  0.54972310E+00 -0.40804073E+01
  0.58205975E+00 -0.42291005E+01
  0.61439641E+00 -0.43736362E+01
  0.64673306E+00 -0.45098332E+01
  0.67906971E+00 -0.46352807E+01
  0.71140636E+00 -0.47504254E+01
  0.74374302E+00 -0.48582270E+01
  0.77607967E+00 -0.49625942E+01
  0.80841632E+00 -0.50664327E+01
  0.84075298E+00 -0.51701984E+01
  0.87308963E+00 -0.52715262E+01
  0.90542628E+00 -0.53661176E+01
  0.93776293E+00 -0.54496187E+01
  0.97009959E+00 -0.55196799E+01
  0.10024362E+01 -0.55770914E+01
  0.10347729E+01 -0.56253043E+01
  0.10671095E+01 -0.56686298E+01
  0.10994462E+01 -0.57101641E+01
  0.11317829E+01 -0.57504477E+01
  0.11641195E+01 -0.57873407E+01
  0.11964562E+01 -0.58171234E+01
  0.12287928E+01 -0.58364117E+01
  0.12611295E+01 -0.58439750E+01
  0.12934661E+01 -0.58413588E+01
  0.13256025E+01 -0.58401663E+01
  0.13577390E+01 -0.58306657E+01
  0.13898754E+01 -0.58128698E+01
  0.14220118E+01 -0.57876176E+01
  0.14541482E+01 -0.57561729E+01
  0.14862847E+01 -0.57195048E+01
  0.15184211E+01 -0.56776811E+01
  0.15505575E+01 -0.56297553E+01
  0.15826939E+01 -0.55742629E+01
  0.16148304E+01 -0.55100559E+01
  0.16469668E+01 -0.54369511E+01
  0.16791032E+01 -0.53558085E+01
